,ClosePrice,YearBuilt,OriginalListPrice,PostalCode,PropertySubType,BedroomsTotal,BathroomsTotalInteger,Latitude,Longitude,LivingArea,StoriesTotal,LotSizeSquareFeet,CloseDate,CommonWalls,Single Family Residence,Condominium,Multi,Townhouse,AppliancesYN,CoolingYN,FireplaceYN,HeatingYN,LaundryYN,ParkingYN,PatioYN,PoolPrivateYN,ViewYN,Age,CloseMonth,CloseYear,WinterIsComing,BondDate,Bond10Year
40587,910000.0,1940.0,929000.0,90034,Single Family Residence,2.0,1.0,34.022609,-118.413064,785.0,1.0,5200.0,2017-07-14,1,1,0,0,0,1,0,0,1,1,1,1,0,1,80.0,7,2017,0,2017-06-14,2.15
40588,3080000.0,2000.0,3199000.0,90034,Single Family Residence,6.0,6.0,34.042274,-118.391537,5567.0,1.0,8400.0,2017-07-21,1,1,0,0,0,1,1,1,1,1,1,1,1,1,20.0,7,2017,0,2017-06-21,2.16
40590,910000.0,1923.0,950000.0,90034,Single Family Residence,3.0,2.0,34.036477000000005,-118.387599,1032.0,1.0,6606.0,2017-08-14,1,1,0,0,0,1,0,1,1,1,1,0,0,0,97.0,8,2017,0,2017-07-15,2.296688541140846
40591,743000.0,1994.0,749000.0,90034,Condominium,2.0,3.0,34.027777,-118.403598,1517.0,1.0,14519.0,2017-10-03,0,0,1,0,0,0,1,1,1,1,1,0,0,0,26.0,10,2017,1,2017-09-03,2.296688541140846
40592,2500000.0,2017.0,2620000.0,90034,Single Family Residence,5.0,5.0,34.028991,-118.418097,3320.0,2.0,7392.0,2017-11-21,1,1,0,0,0,1,1,1,1,1,1,1,0,1,3.0,11,2017,1,2017-10-22,2.296688541140846
40593,1120000.0,1929.0,995000.0,90034,Single Family Residence,2.0,1.0,34.023983,-118.402812,1064.0,1.0,5319.0,2017-06-30,1,1,0,0,0,1,0,1,1,1,1,0,0,0,91.0,6,2017,0,2017-05-31,2.21
40594,435000.0,1981.0,399000.0,90034,Condominium,1.0,1.0,34.026461,-118.395452,693.0,1.0,13300.0,2017-07-20,0,0,1,0,0,1,1,1,1,1,1,1,0,0,39.0,7,2017,0,2017-06-20,2.16
40596,720000.0,1924.0,729990.0,90034,Single Family Residence,4.0,3.0,34.034334,-118.372155,1816.0,2.0,5000.0,2017-09-20,1,1,0,0,0,1,0,1,1,1,1,1,0,1,96.0,9,2017,1,2017-08-21,2.18
40597,716000.0,1990.0,669000.0,90034,Condominium,2.0,2.0,34.027133,-118.395464,1118.0,1.0,13523.0,2017-07-21,0,0,1,0,0,1,0,1,1,1,1,1,0,0,30.0,7,2017,0,2017-06-21,2.16
40598,680000.0,2006.0,664900.0,90034,Condominium,2.0,2.0,34.03161,-118.392859,1125.0,3.0,6750.0,2017-07-24,0,0,1,0,0,1,1,1,1,1,1,0,0,1,14.0,7,2017,0,2017-06-24,2.296688541140846
